DATE,TWEET
2020-03-02 10:32:11+00:00,Definitely not what we want to hear - thanks for reaching out. Best to call 0800 169 6333 Their office hrs: Mon - Fri 08.00 - 21.00 Sat 08.00 - 20.00 Sun 09.00 - 18.00 Please give them a ring - team can help clarify the process for sure! ^Mill
2020-03-02 10:39:41+00:00,"Hi Michelle, if you would like us to see what’s available for you. Click on the link below to start DM then provide us with your full name and postcode. Thanks. ^Ank."
2020-03-02 10:42:29+00:00,"Hi Jen, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude"
2020-03-02 11:29:36+00:00,"The annual subscription limit for the 19/20 tax year is £20K. This can be split across different ISA types as long as the combined amount doesn't exceed GBP20,000. Both, HTB & (Loyalty) Cash ISA belong to the same ISA type (they are Cash ISAs) (1/2) ^Mill"
2020-03-02 11:32:16+00:00,"With concerning the above, limits of how much you can deposit to your other HTB ISA would consider competitor's HTB ISA specifics as well as how much of £20K have you used this tax year across all your ISAs. (2/2) ^Mill"
2020-03-02 11:38:30+00:00,"Hey Matt. Yes, we did have some processing issues which have delayed the release of some payments. Our team is working hard to investigate and release the remaining payments before the cut off time of 3:30pm UK time. Very sorry for the trouble and thanks for your patience. ^Yuriy"
2020-03-02 11:46:41+00:00,"Our standing orders are affected with a slight delay this morning. We're on it, as more processing is assigned to clear the backlog. Would you get charged from the second you enter your overdraft, or if your account stays in its overdraft balance over the night? ^Mill"
2020-03-02 11:53:20+00:00,"As this is a third party, we couldn't assist. It would be best to speak to Money Dashboard on their chats / help lines. Hope you can get this sorted. ^Ank."
2020-03-02 11:56:20+00:00,"My suggestions would be to clarify the details, call the beneficiary to get this as accounts can change and details. Thanks for your understanding. ^Ank."
2020-03-02 12:00:51+00:00,"Hi, can you provide me you full name and postcode in a private message and I'll be able to check for you. ^Claude https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-02 12:02:28+00:00,"Hi, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude"
2020-03-02 12:34:10+00:00,Don’t understand why this is difficult. Do you have a copy of your policy? You have the contact information in the booklet. Advance/ Bank account holders 0800 299 399 and Premier account holders 0800 051 746.(1/2) ^Ank.
2020-03-02 12:34:18+00:00,"Insurance Policy kindly go to the HSBC webpage look under the account you hold and have a look for extra information, this should be in PDF formats, to assist you in any query you might have under your policy. Thanks (2/2) ^Ank."
2020-03-02 12:37:05+00:00,"Something doesn't sound right here, was everything closed correctly? I can look into this further for you if you would like to click on the link below to start DM, and provide me with your full name on the account and postcode. Thanks. ^Ank. https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-02 12:46:10+00:00,We apologise for any inconvenience.The issue is taking time to sort but payments are being sorted at a slower pace. You can contact us if there are charges in relation to this to be reviewed. We do thank you for your patience and understanding. ^Ank.
2020-03-02 12:51:33+00:00,Gravy for the win 
2020-03-02 12:53:13+00:00,"Hey there. Try clearing your browsing data, closing and re-opening the browser. We have little access to HSBCnet here, but you can get in touch with them on http://grp.hsbc/60161WFwC. Sorry for the trouble and thanks for your patience. ^Yuriy"
2020-03-02 12:55:45+00:00,"To make a claim, call 0800 001 4278 (+44 1603 606 372 outside the UK). The IMEI number of your mobile phone will be required. (1/2) ^Ank."
2020-03-02 12:56:03+00:00,"You can find it by dialling *#06#on your phone’s keypad, on the box or your receipt, or by contacting your network provider. Thanks. (2/2) ^Ank."
2020-03-02 13:31:59+00:00,"Am I correct to say this has been sorted now? Do apologise for the panic attack, not something we intend to do to our customers, as we are always here to help. ^Ank."
2020-03-02 13:44:29+00:00,"Hey Ben. Sorry to hear that. We've only got access to UK accounts here. Please check out http://grp.hsbc/60181W2Gj for ways to contact HSBC Hong Kong (feels a bit repetitive saying that since the ""H"" in HSBC stands for Hong Kong already ). Thanks for your patience! ^Yuriy"
2020-03-02 13:49:39+00:00,"As you need to change online banking credentials, I'm afraid that's the only way, unfortunately. Sorry for the trouble Ben. ^Yuriy"
2020-03-02 13:51:58+00:00,"We always aim to protect the savings rates we pay to our customers. Any decision to reduce these rates is always difficult and in this case, reflects the challenging market conditions over the last few years. (1/2) ^Mill"
2020-03-02 13:53:13+00:00,"We’d like to reassure you that HSBC is a safe home for your savings and of course, this is backed by the FSCS guarantee. If you have any concerns about your personal finances, we would love to discuss these with you and provide you with our growth options. (2/2) ^Mill"
2020-03-02 13:55:19+00:00,"Hi Melanie . The first deposit into the Help to Buy ISA you can pay up to £1200. Thereafter the payments you can make on a monthly basis are up to £200. You can feed the ISA from any bank you wish to, you can set up a Standing Order through online banking if you wish? ^Alison"
2020-03-02 13:58:26+00:00,"Thanks for that, and really my apologies. Hope the rest of the day is much more relaxed. You know we are here, so never panic we do find solutions ^Ank."
2020-03-02 14:05:34+00:00,Hi Larry . Oh that does not sound good! Can you please DM me with what card you have and what type of offers you are looking for? ^Alison
2020-03-02 14:05:43+00:00,"That would be great, Janet! Please do pass your feedback through the link . We will review the feedback, and make any necessary changes. ^Nick"
2020-03-02 14:14:04+00:00,I am very sorry to hear that after 40 years you are reviewing your options with us. I'd like to ensure your disappointment is logged formally and your issues looked into as a complaint. Please can you provide your full name and postcode via the link below. ^Saffron https://twitter.com/messages/compose?recipient_id=2922732233
2020-03-02 14:21:55+00:00,"Hi, can you provide me you full name and postcode and I'll be able to check for you. ^Claude"
2020-03-02 14:22:23+00:00,In a private message. https://twitter.com/messages/compose?recipient_id=2922732233
2020-03-02 14:28:17+00:00,"No problem, Uriel. We're always happy to help. ^Nick"
2020-03-02 14:33:07+00:00,Glad we have been able to help. Have a nice afternoon and thank you for your kind feedback. ^Ank.
2020-03-02 14:50:26+00:00,"Thank you for coming back to me, your feedback about the interest rates has been noted. Should you need any help with anything further, please do come back to us. ^Saffron"
2020-03-02 14:57:33+00:00,"We do try our best in working with the green and saving paper, like yourself. Certain documents need to be provided for proof and these can’t be overlooked, we are looking into future ways to get this sorted. (1/2) ^Ank."
2020-03-02 14:57:49+00:00,You might like to leave Feedback on the link below if you feel things can be done better via this link: http://grp.hsbc/61821ylkM . Thanks. (2/2) ^Ank.
2020-03-02 15:01:30+00:00,"@AlleyneMason What's the message you can see, please? You can DM me via link below, if you wish. ^Mill https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-02 15:27:09+00:00,"Muy bien educado, ¿no? ^Yuriy"
2020-03-02 15:41:29+00:00,"Yeah that's definitely a scam, Ross. Thanks for letting us know. If possible, can you forward that image to phishing@hsbc.com? ^Nick"
2020-03-02 15:56:36+00:00,"Hi James. We aren't able to dispute pending transactions due to VISA regulations. If we reverse the payment for you, and it still debits, we would lose the right to dispute on your behalf. Please monitor your app and when the payment pops up, contact us through Mobile Chat. ^Nick"
2020-03-02 16:07:32+00:00,"Hey there, sorry about that! - please see the link now . http://grp.hsbc/60171W4Ft. Thanks, ^Alison"
2020-03-02 16:09:04+00:00,Hi Rajasekjar. Thanks for passing on the feedback. Can you please DM us with the transcripts and more information around this please? ^Nick
2020-03-02 16:16:29+00:00,Hi James . You can view or amend the appointment through you online banking. We are unable to give appointment details out through this channel. Please log on to http://grp.hsbc/60101WfEM and select 'My Banking' then 'Book or manage an appointment'. ^Alison
2020-03-02 16:18:09+00:00,"You should have received an email to confirm the appointment details to your registered email address when it was booked, you will also receive a text message with all the details in it before the appointment if that helps. ^Alison"
2020-03-02 16:23:47+00:00,"I understand, Naive. Our branches do accept online bills, as address verification, however they would need to be printed to allow us to scan them on our system. ^Nick"
2020-03-02 17:01:44+00:00,"As Pharrell Williams would say: ""Because I'm happy Clap along if you feel like a room without a roof!"" http://grp.hsbc/60191WfhR ^Mill"
2020-03-02 17:26:31+00:00,"BACS or Faster Payments are usually immediate, however they can take up till the end of the next working day to arrive. ^Nick"
2020-03-02 17:45:10+00:00,"Hi Thomas, oh that does not sound good at all! . Can you please DM me your full name and postcode ans some brief details around the issue and I will see what can be done for you. ^Alison"
2020-03-02 17:55:25+00:00,"Hey there, yes this is definitely a scam message. Can you please forward this to phishing@hsbc.co.uk. Thank you . ^Alison"
2020-03-02 18:24:54+00:00,"Hi there Kevin, If this is a new built area we might need to add the address manually and it will not give you the option to do this on the online banking. Can you kindly call us on 03457 404 404.^Laura"
2020-03-02 18:37:55+00:00,"Hi there Die, the branch have the possibility to book an appointment directly which will not be visible at our end. Please send a DM with the name of the person you have booked the appointment with and I can contact her directly. ^Laura"
2020-03-02 18:54:24+00:00," Don't worry Carrie! HSBC to the rescue...I'll mail the branch now, and as soon as I get a reply, I'll get back to you. It'll probably be tomorrow though, as they're shut now! ^Chris"
2020-03-02 18:58:14+00:00,"Hey Sparky, the post office can be a substitute to going to branch as you can pay in cash and cheques, withdraw money and check your balance. ^Tijianne"
2020-03-02 19:02:15+00:00,"Hey there, if you made a payment today using the faster payment route, then it will take by the end of working day tomorrow to arrive to the beneficiary. If you're expecting money into the account, it depends on how the payment was sent, so we are unable to comment. ^Tijianne"
2020-03-02 19:22:36+00:00,"Hi Dave, Thanks for contacting us, it takes longer because credit card payments take a day or two to be processed (including pending payment).^Salem"
2020-03-02 19:53:50+00:00,Brilliant! That is good news...I'm glad everything's been sorted! ^Chris
2020-03-02 20:04:36+00:00,"Hi Dave, Do you mean that the balance is not updating?^Salem"
2020-03-02 20:07:12+00:00,"Hi Denise, Thanks for contacting us, our messages normally ask you to reply with a Y or N depending if the transaction is genuine, but you can send us a screenshot of the message if you are not sure.^Salem"
2020-03-02 20:24:19+00:00,Great way to kick off the first Under the Spotlight of the year. We're sure it raised plenty of talking points.
2020-03-02 20:34:56+00:00,Hi there! There are various ways to pay off a credit card. The most convenient option is to pay it through the mobile/online banking. Kindly have a look at the below link as it gives you step by step instructions. Hope this helps! ^Tijianne
2020-03-02 20:35:37+00:00,"Hey Sarah, what can we help you with? ^Tijianne"
2020-03-02 20:37:02+00:00,"Another year, another fantastic programme. Looking forward to exploring 'what’s next?' in disability inclusion."
2020-03-02 20:43:20+00:00,"Hey Dave, if a card payment has not debited, then the amount of the payment will not be deducted from the balance. This is because it's a pending payment, and it's not guaranteed to leave the card as it can be cancelled by the retailer. (1/2) ^Tijianne"
2020-03-02 20:46:22+00:00,"Card transactions can take up to 10 working days to debit, so you just need to monitor the credit card for when it leaves. (2/2)^Tijianne"
2020-03-02 21:03:35+00:00,"Hey Elizabeth! We base our insurance on the list provided by the FCO, if a country is added to the list after your flights have been booked, you're definitely covered. If the country is not added to the list, but at the time of traveling it is, you will be covered :) ^Tijianne"
2020-03-02 21:10:55+00:00,"Hi there, it can take up to 8 weeks for a complaint to reach the final resolution stage. The acknowledgment letter is usually sent out within 5 working days. Please send full name and post code via DM^ Laura"
2020-03-02 21:28:54+00:00,"Hi there, this is not a genuine SMS sent by HSBC. Please forward this to phishing@hsbc.co.uk.^Laura"
2020-03-02 21:35:20+00:00,"Hi there, we will not be able to contact you over this platform. Your request can be looked into if you call us on 03457 404 404.^Laura"
2020-03-02 21:43:05+00:00,"Hi Dave, I do understand where you are coming from, however until the payments have either debited or credited the credit card the balance will still show as at the end of the previous working day.^Laura"
2020-03-02 21:48:48+00:00,"Hi there, please call us on 03457 404 404 to have an up to date statement sent to your address. Good luck with the purchase. ^Laura"
2020-03-02 21:50:34+00:00,"Hi there, feel free to send your full name and the post code if you wish to have your feedback logged about this.^Laura"
2020-03-02 21:57:07+00:00,"Hey there, Please follow the below link on how to make a payment. I hope this helps! ^Tijianne"
2020-03-02 21:57:28+00:00,"Hi Melanie, you don't need to close the Cash ISA with HSBC, however you will not be able to pay money into more than one Cash ISA in the same tax year.^Laura"
2020-03-03 07:15:16+00:00,"So your setting up a direct debit from another provider, certain documents are required for proof, and we thank you for your understanding. ^Ank."
2020-03-03 08:10:46+00:00,"Hi Geraldine, have you read the terms and conditions of holding an Advance account? Here’s a link to help you understand http://grp.hsbc/60181oyWa . Hope you will be able to upgrade your account. Good luck! ^Ank."
2020-03-03 08:18:23+00:00,"Crypto is not regulated in UK and is not considered a legal tender. At HSBC, we do not offer services related to digital currencies. ^Mill"
2020-03-03 08:25:53+00:00,Sorry about the birdie delay lets pluck a few feathers here and get those wings working. Can you click on the link below to start DM and provide me with your full name on the application and postcode. Thanks. ^Ank. https://twitter.com/messages/compose?recipient_id=2922732233
2020-03-03 08:38:43+00:00,"Hey Hazel. Sorry to hear that. Secure key log on is the only way to access online banking, due to the Payment Services Directive 2 EU regulation, which began on 14th September 2019. If you'd like to share your full name and post code via DM, we can send the agent feedback. ^Yuriy https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-03 08:40:56+00:00,Hi! If you're getting any codes sent - ignore the brackets as they are pre-filled. Code: (01)12345678 - you only type 12345678. Hope this helps. Tell me if still having issues! ^Mill
2020-03-03 08:42:29+00:00,"If you have a smartphone and call +44 1226 261 226 (08:00-22:00 UK time), we can help you set up a digital secure key, to regain access to online banking. Thanks for your patience. ^Yuriy"
2020-03-03 09:09:30+00:00,"Hey Kayley. I can imagine it would cost. Please try selecting ""Having trouble?"" on the activation code page. That should also give you the option to receive the activation code by email. If you share your full name and post code via DM, we can send feedback to the agent. ^Yuriy"
2020-03-03 09:29:05+00:00,"Hey there. There sure is! Please check out http://grp.hsbc/60171oJo5 &gt; ""How to get started"". Thanks for your interest! ^Yuriy"
2020-03-03 09:33:16+00:00,"It's a precaution that we take, especially since we cannot instantly identify who the other bank's account belongs to. Thanks. ^Yuriy"
2020-03-03 10:08:02+00:00,"Hi Janet - that's odd - have you managed to log on since? Also, are you on a iPhone or Android user? If you have an iPhone, app had some issues on new iOS 13.4, and we'd advise rolling back to 13.3 until new versions is released. ^Mill"
2020-03-03 10:22:02+00:00,"The payment will take a bit longer to reach the new card. I would suggest waiting 2 working days just to see if it goes through. You can then give us a call if you don’t get the funds into your account, and we can assist you further. ^Ank."
2020-03-03 10:32:59+00:00,"Hiya! As mentioned above, HTB & Loyalty ISA are both Cash ISAs. If by original ISA you concern your ISA w/ us - you would have the access to withdraw the funds, of course (as long as it's not dormant). ^ Mill"
2020-03-03 10:47:00+00:00,0345 is a standard landline cost of 9p per minute & for mobile phones it starts from 3p/min... We also have a LiveChat which is free to contact 24/7 service! Team may ask you to log on to your digital banking to provide you with certain account related details. ^Mill
2020-03-03 11:12:19+00:00,"HI James - some Advance accounts were offered w/ aspects of insurance in the past, but it's an off-shelf product now. If you opted in for it then - you should have it still! ^Mill"
2020-03-03 11:15:45+00:00,To help you here you can visit our site on http://grp.hsbc/60121oK72 . Go to Banking Accounts &amp; services go to the heading ‘Current accounts’ and choose your account under the section. Working down the page find ‘Things you should know’ (1/3) ^Ank.
2020-03-03 11:15:53+00:00,The PDF formats here it gives the prices for services from the HSBC side. When you go to make the transaction and enter the details you will find the exchange rate and the currency conversion. (2/3) ^Ank.
2020-03-03 11:16:03+00:00,"We can’t give you the amount as every 40seconds rates change, but you have the option to opt out if your feel this isn’t the right time to do the transaction. Thanks. (3/3) ^Ank."
2020-03-03 11:35:50+00:00,"Hey Natalie. I wish we could help, but we've got limited security here, unfortunately. Are you calling 0800 051 7459? Sorry for the wait. Their registered address on http://grp.hsbc/60141ozzA is Aviva, Pitheavlis, Perth, PH2 0NH, Scotland. ^Yuriy"
2020-03-03 11:37:53+00:00,"The £4 charge is the HSBC UK charge and that’s correct because you made the payment online. The £14.45 on 2nd March, is the charge made from the receiving bank because you choose to pay all charges and incur all charges. All correct. ^Ank."
2020-03-03 11:38:17+00:00,"Hey Erinn. Very sorry to hear that. Which number are you calling? Can you please share your full name and post code, and a brief overview of what happened via DM? Thanks. ^Yuriy https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-03 11:52:03+00:00,"Nice mistake, but better resolve this and this could lead to unpleasant hassle which we try to avoid in life. Return the funds and in the reference you can make a comment like ‘Overpaid mistake’ the refund will be the amount paid to them. ^Ank."
2020-03-03 11:56:42+00:00,"It's quite unusual that LiveChat doesn't appear immediately. If that happens - just give it few minutes and the tab will show. If you'd like, we can guide you from here? ^Mill"
2020-03-03 12:00:49+00:00,"The App doesn't allow you - correct, but Online does in few simple clicks! http://grp.hsbc/60191ozjx ^Mill"
2020-03-03 12:16:51+00:00,"Hey Carinalyna. It can't be done on the app, but on http://grp.hsbc/60101ozmp &gt; log on &gt; username &gt; memorable answer &gt; generate a security code from your app (http://grp.hsbc/60111ozmV). After logging on &gt; move money &gt; new payee &gt; enter the details. Really hope that helps ^Yuriy"
2020-03-03 12:48:28+00:00,"There might be a queue in any branch, and we are sorry for the waiting. I will let the bank manager know your concern. We would appreciate that you remove this picture due to data protection. Thanks. ^Ank."
2020-03-03 12:58:49+00:00,"Hey Lucy. You no longer need to tell us if you're going abroad, as we monitor all transactions to help protect you. Please check that we've got the correct number and email for you, just in case we need to get in touch. Have a safe light and enjoy! ^Yuriy"
2020-03-03 13:05:25+00:00,"To do this, please visit http://grp.hsbc/60141oMzO &gt; log on &gt; username &gt; memorable question &gt; generate security code from your app (http://grp.hsbc/60151oMzP) &gt; click on the arrow next to your name in the top right &gt; personal and address details. No need for the keycard ^Yuriy"
2020-03-03 13:06:22+00:00,"Any public place there will be a queue, from hospitals to public services even banks. We thank you for the understanding and urgency in removing the picture. ^Ank."
2020-03-03 13:06:29+00:00,"Feel free to chat with us via mobile chat, live chat or call 03457 404 404 (08:00-22:00), too ^Yuriy"
2020-03-03 13:07:48+00:00,"Doesn't sound good! However, have no fear, we're here to help! I think the best thing to do would be to call our team on 03456 002290, and we can get everything reset for you, and you'll be back online in no time! ^Chris"
2020-03-03 13:20:12+00:00,"Hey Daniel, The available balance is updated instantly. You might have a pending payment on your account that can take up to 7 working days to drop off the system. For more information about your balance you can reach out to our live chat or call us on 03457 404 404.^Salem"
2020-03-03 13:22:49+00:00,"You certainly can! You can put in your Mortgage number where it asks for your sort code and account number. If this doesn't work, then you can call us on 03457 404404, and we can tell you what it is on our system. Good luck on the new house by the way! ^Chris"
2020-03-03 13:24:41+00:00,"Thanks for removing the picture. Much appreciate, and hope that you have been able to get your banking needs sorted today? ^Ank."
2020-03-03 13:25:19+00:00,"Hi Andrew - that sounds odd, which part of the activating the digital key is holding you from moving forward? Also, if you're using an iPhone, there is a known issue w/ 13.4 Beta iOS (we advise rolling back to 13.3) ^Mill"
2020-03-03 13:38:27+00:00,"Hi Rachel, if you have set up the digital secure key on the app you can just throw the physical token away as it would have been deactivated so is no use to anyone "
2020-03-03 13:39:05+00:00,"Hi Kess, I'm sorry to hear that the response was not relevant, you can reach out to our financial guidance team by calling us on 0345 850 0622 between 08:00-21:00 from Monday to Thursday, from 08:00-18:00 on Fridays or between 08:30-16:00 during the weekend.^Salem"
2020-03-03 13:40:29+00:00,"Very strange. If that's the case, then it's probably best to call us on 03456 002290, and our internet banking team will get you up and running in no time. It sounds like the online banking activation needs a bit of a refresh from our end. ^Chris"
2020-03-03 14:14:54+00:00,"Hey Alice. I'm sorry to hear that, and I understand why you're frustrated, as I would be myself too, but please don't use language, as we're to help. Please call financial guidance on 0345 850 0622 (Monday-Thursday:08:00-21:00, Friday:08:00-18:00, Saturdays: 08:30-16:00). ^Yuriy"
2020-03-03 14:16:29+00:00,Please check out our options on http://grp.hsbc/60101o3z4 as well. I really hope this helps your situation. Thanks for your time and best of luck. ^Yuriy
2020-03-03 14:33:56+00:00,"Hey Ruz. I understand where you're coming from, but we must treat all payments with caution. Have you managed to make that payment? If not, http://grp.hsbc/60161o3jj and http://grp.hsbc/60171o3jd will help. Thanks for your time! ^Yuriy"
2020-03-03 15:04:22+00:00,"Hey there. I understand that it's not easy to get through to us, given that we're so busy on all channels today. Have you managed to get help with your query? Is there any way we can help here? ^Yuriy"
2020-03-03 15:32:58+00:00,"Hi Marina, give our online banking team a call on 03456 002 290. ^Michele"
2020-03-03 15:48:06+00:00,Hi Gina if you send me your full name and postcode and a bit more information about the issue in DM using the link below I will pass it over to our customer care team to be escalated. ^Michele https://twitter.com/messages/compose?recipient_id=2922732233
