,DATE,TWEET,tidy_tweets,absolute_tidy_tweets,,,,,,,
10,2020-03-01 15:12:48+00:00,"Hi Dan. The app will have a password set up, however to log on to Online Banking, you will need to generate a code from that app to log on. Have a look at the link to find out how to generate the code. ^Nick","Hi Dan. The app will have a password set up, however to log on to Online Banking, you will need to generate a code from that app to log on. Have a look at the link to find out how to generate the code. ^Nick",Hi Dan The app password set however log Online Banking need generate code app log Have look link find generate code Nick,,,,,,,
11,2020-03-01 15:36:42+00:00,"Thank you for the feedback, Janet. We are closing down a few branches this year. More information in the link ^Nick http://grp.hsbc/60121WUHg","Thank you for the feedback, Janet. We are closing down a few branches this year. More information in the link ^Nick",Thank feedback Janet We closing branches year More information link Nick,,,,,,,
12,2020-03-01 15:38:13+00:00,"You can pass on any feedback on that form, not just for an app, Zlatka. We're sad to see you leave. Is there anything that we can do to help? ^Nick","You can pass on any feedback on that form, not just for an app, Zlatka. We're sad to see you leave. Is there anything that we can do to help? ^Nick",You pass feedback form app Zlatka Were sad see leave Is anything help Nick,,,,,,,
13,2020-03-01 15:50:55+00:00,"I understand, Melanie. Give our ISA Team a quick call on 02070882093, and they can explain how transferring out works. ^Nick","I understand, Melanie. Give our ISA Team a quick call on 02070882093, and they can explain how transferring out works. ^Nick",I understand Melanie Give ISA Team quick call explain transferring works Nick,,,,,,,
14,2020-03-01 15:57:49+00:00,"Thanks for the feedback, Robyn. We can set your boyfriend up with Touch ID or Face ID on the app, which makes it significantly easier to log in. ^Nick","Thanks for the feedback,obyn. We can set your boyfriend up with Touch ID or Face ID on the app, which makes it significantly easier to log in. ^Nick",Thanks feedbackobyn We set boyfriend Touch ID Face ID app makes significantly easier log Nick,,,,,,,
15,2020-03-01 16:09:26+00:00,"That sounds dodgy, Antonia. Did they explain how or why the card was compromised? ^Nick","That sounds dodgy, Antonia. Did they explain how or why the card was compromised? ^Nick",That sounds dodgy Antonia Did explain card compromised Nick,,,,,,,
16,2020-03-01 16:18:39+00:00,"That's odd! Have you spoken with our Mortgage Team around this, Tommy? ^Nick","That's odd! Have you spoken with our Mortgage Team around this, Tommy? ^Nick",Thats odd Have spoken Mortgage Team around Tommy Nick,,,,,,,
17,2020-03-01 16:19:41+00:00,That's odd! We don't usually ask for that permission. Are you sure you downloaded the HSBC UK app? ^Nick,That's odd! We don't usually ask for that permission. Are you sure you downloaded the HSBC UK app? ^Nick,Thats odd We dont usually ask permission Are sure downloaded HSBC UK app Nick,,,,,,,
18,2020-03-01 16:56:43+00:00,Hey there . Go onto your My Documents section and view a statement. The number should be in the top right-hand corner. ^Alison,Hey there . Go onto your My Documents section and view a statement. The number should be in the top right-hand corner. ^Alison,Hey Go onto My Documents section view statement The number top righthand corner Alison,,,,,,,
19,2020-03-01 17:34:28+00:00,"Hi Claire, please pass on your full name and post code via DM, and we can see what we can do here for you thanks ^Amy","Hi Claire, please pass on your full name and post code via DM, and we can see what we can do here for you thanks ^Amy",Hi Claire please pass full name post code via DM see thanks Amy,,,,,,,
20,2020-03-01 17:54:54+00:00," we can't through Twitter I'm afraid but if you give our online banking team a call, they can sort it out for you or even help you have the digital version on your phone 03456 00 22 90 open til 10pm ^Amy","we can't through Twitter I'm afraid but if you give our online banking team a call, they can sort it out for you or even help you have the digital version on your phone 03456 00 22 90 open til 10pm ^Amy",cant Twitter Im afraid give online banking team call sort even help digital version phone open til pm Amy,,,,,,,
21,2020-03-01 17:58:36+00:00,"Hi Lesley, what login details do you need help with, so I can see what i need to guide you? ^Amy","Hi Lesley, what login details do you need help with, so I can see what i need to guide you? ^Amy",Hi Lesley login details need help I see need guide Amy,,,,,,,
22,2020-03-01 18:05:58+00:00,"Hi Stephen. You can set that up by calling us on 03457 400004, or visiting a branch with photo ID. If you're calling, prepare yourself for some security questions. ^Nick","Hi Stephen. You can set that up by calling us on 03457 400004, or visiting a branch with photo ID. If you're calling, prepare yourself for some security questions. ^Nick",Hi Stephen You set calling us visiting branch photo ID If youre calling prepare security questions Nick,,,,,,,
23,2020-03-01 18:14:54+00:00,That's very weird. We're not even close to being busy today. ^Nick,That's very weird. We're not even close to being busy today. ^Nick,Thats weird Were even close busy today Nick,,,,,,,
24,2020-03-01 18:23:16+00:00,"Hi! There is another way to do this if this way does not suit him. He can upgrade to a digital version so the codes are generated though the app on his mobile phone (I personally find this much easier). If he wants to give this a try, he needs to call us on: 03457 404404. ^Alison","Hi! There is another way to do this if this way does not suit him. He can upgrade to a digital version so the codes are generated though the app on his mobile phone (I personally find this much easier). If he wants to give this a try, he needs to call us on: 03457 404404. ^Alison",Hi There another way way suit He upgrade digital version codes generated though app mobile phone I personally find much easier If wants give try needs call us Alison,,,,,,,
25,2020-03-01 18:28:40+00:00,"We're not aware of any issues, Danialez. Have you tried to delete your cache and cookies on your browser? Or try a completely different one? ^Nick","We're not aware of any issues, Danialez. Have you tried to delete your cache and cookies on your browser? Or try a completely different one? ^Nick",Were aware issues Danialez Have tried delete cache cookies browser Or try completely different one Nick,,,,,,,
26,2020-03-01 18:30:56+00:00,Thanks for the information Antonia . Are you able to log onto your Mobile or Online banking? If so please do and get onto live chat or mobile chat and the agent should be able to answer your queries. We cannot look into specific translation on this platform. ^Alison,Thanks for the information Antonia . Are you able to log onto your Mobile or Online banking? If so please do and get onto live chat or mobile chat and the agent should be able to answer your queries. We cannot look into specific translation on this platform. ^Alison,Thanks information Antonia Are able log onto Mobile Online banking If please get onto live chat mobile chat agent able answer queries We cannot look specific translation platform Alison,,,,,,,
27,2020-03-01 18:34:21+00:00,"Most of our branches are open Monday to Friday from 8am till 5pm, with some of them opening on a Saturday as well on an appointment-only basis. ^Nick","Most of our branches are open Monday to Friday from 8am till 5pm, with some of them opening on a Saturday as well on an appointment-only basis. ^Nick",Most branches open Monday Friday till pm opening Saturday well appointmentonly basis Nick,,,,,,,
28,2020-03-01 18:35:04+00:00,"That might be why, Felix. You'll need to download and switch over to the new app. It's called 'HSBC UK Mobile Banking'. ^Nick","That might be why, Felix. You'll need to download and switch over to the new app. It's called 'HSBC UK Mobile Banking'. ^Nick",That might Felix Youll need download switch new app Its called HSBC UK Mobile Banking Nick,,,,,,,
29,2020-03-01 18:36:57+00:00,"Hi David . Is it the fast balance you are seeing? This is the only one you should see without authentication. I can suggest deleting the app and re-downloading it, or giving our Internet guys a call to see if they can get this sorted out for you on: 03456 002 290. ^Alison","Hi David . Is it the fast balance you are seeing? This is the only one you should see without authentication. I can suggest deleting the app and re-downloading it, or giving our Internet guys a call to see if they can get this sorted out for you on: 03456 002 290. ^Alison",Hi David Is fast balance seeing This one see without authentication I suggest deleting app redownloading giving Internet guys call see get sorted Alison,,,,,,,
30,2020-03-01 18:42:14+00:00,"Hi Amber. Let's try re-installing the app, just in case there was an issue with installing it. ^NIck","Hi Amber. Let's try re-installing the app, just in case there was an issue with installing it. ^NIck",Hi Amber Lets try reinstalling app case issue installing NIck,,,,,,,
31,2020-03-01 19:11:15+00:00,"Ahh I am very sorry Julide! , I miss read the message and thought it was your IBAN number you were looking for . So sorry about that! IB number - also referred to as username. ^Alison","Ahh I am very sorry Julide! , I miss read the message and thought it was your IBAN number you were looking for . So sorry about that! IB number - also referred to as username. ^Alison",Ahh I sorry Julide I miss read message thought IBAN number looking So sorry IB number also referred username Alison,,,,,,,
32,2020-03-01 19:11:46+00:00,"You will be able to see the last 4 digits when you log on at first on the app. Or log on to the full website, select forgotten username link at the start. ^Alison","You will be able to see the last 4 digits when you log on at first on the app. Or log on to the full website, select forgotten username link at the start. ^Alison",You able see last digits log first app Or log full website select forgotten username link start Alison,,,,,,,
33,2020-03-01 19:26:34+00:00,"Doesn't sound like you're having a great time, David. How are you trying to make the payment? Is it Online or through the app? ^Nick","Doesn't sound like you're having a great time, David. How are you trying to make the payment? Is it Online or through the app? ^Nick",Doesnt sound like youre great time David How trying make payment Is Online app Nick,,,,,,,
34,2020-03-01 19:42:38+00:00,Hi Kevin. Are you typing in the post code in capital letters? ^Nick,Hi Kevin. Are you typing in the post code in capital letters? ^Nick,Hi Kevin Are typing post code capital letters Nick,,,,,,,
35,2020-03-01 19:42:57+00:00,"Hey Kate , sorry to hear you have not received the code. I am not aware of any issues with the system at the moment. Have you checked to see that your mobile number is up to date? ^Alison","Hey Kate , sorry to hear you have not received the code. I am not aware of any issues with the system at the moment. Have you checked to see that your mobile number is up to date? ^Alison",Hey Kate sorry hear received code I aware issues system moment Have checked see mobile number date Alison,,,,,,,
36,2020-03-01 20:02:08+00:00,That's odd! Have you called our specialists on 03456 002290? ^Nick,That's odd! Have you called our specialists on 03456 002290? ^Nick,Thats odd Have called specialists Nick,,,,,,,
37,2020-03-01 20:08:44+00:00,"I am not sure, MIles, unfortunately we don't have a way to ask them to reply. Even though we are in the same Banking Group, we are separate banks. ^Nick","I am not sure, MIles, unfortunately we don't have a way to ask them to reply. Even though we are in the same Banking Group, we are separate banks. ^Nick",I sure MIles unfortunately dont way ask reply Even though Banking Group separate banks Nick,,,,,,,
38,2020-03-01 20:31:17+00:00,"When are you getting this error, Alex? ^Nick","When are you getting this error, Alex? ^Nick",When getting error Alex Nick,,,,,,,
39,2020-03-01 21:16:38+00:00,"No problem, Amber. Have a great evening. ^Nick","No problem, Amber. Have a great evening. ^Nick",No problem Amber Have great evening Nick,,,,,,,
40,2020-03-01 21:29:00+00:00,"We haven't requested confidential information through Twitter. We only asked what the problem is, and maybe your full name and post code, if we need to have a look at your accounts. We have very strict processes on security which we have to abide by. Sorry for the troubles. ^Nick","We haven't requested confidential information through Twitter. We only asked what the problem is, and maybe your full name and post code, if we need to have a look at your accounts. We have very strict processes on security which we have to abide by. Sorry for the troubles. ^Nick",We havent requested confidential information Twitter We asked problem maybe full name post code need look accounts We strict processes security abide Sorry troubles Nick,,,,,,,
41,2020-03-01 21:50:45+00:00,"Hi Daniel. Our Verified by VISA process has changed. Don't worry give us a quick call before making the purchase on 0345 606 3535, and we can set you up with a 15 minute exception. ^Nick","Hi Daniel. Our Verified by VISA process has changed. Don't worry give us a quick call before making the purchase on 0345 606 3535, and we can set you up with a 15 minute exception. ^Nick",Hi Daniel Our Verified VISA process changed Dont worry give us quick call making purchase set minute exception Nick,,,,,,,
42,2020-03-02 06:49:24+00:00,Sorry that you had to wait to be helped. Hope that you have been able to get this resolved? ^Ank.,Sorry that you had to wait to be helped. Hope that you have been able to get this resolved? ^Ank.,Sorry wait helped Hope able get resolved Ank,,,,,,,
43,2020-03-02 07:23:13+00:00,"Sorry you are having difficulties, seems you have done some updates on your phone? Clearing cookies making sure your phone iOS version is up to date, if problem persists come join us on mobile chat. Thanks. ^Ank.","Sorry you are having difficulties, seems you have done some updates on your phone? Clearing cookies making sure your phone iOS version is up to date, if problem persists come join us on mobile chat. Thanks. ^Ank.",Sorry difficulties seems done updates phone Clearing cookies making sure phone iOS version date problem persists come join us mobile chat Thanks Ank,,,,,,,
44,2020-03-02 08:42:21+00:00,Will do. Thank You.,Will do. Thank You.,Will Thank You,,,,,,,
45,2020-03-02 09:08:20+00:00,"Holborn Circus does 8AM-6PM, for example. If you'd like me to check other localities - let me know of the postcode. Thanks! ^Mill","Holborn Circus does 8AM-6PM, for example. If you'd like me to check other localities - let me know of the postcode. Thanks! ^Mill",Holborn Circus AMPM example If youd like check localities let know postcode Thanks Mill,,,,,,,
46,2020-03-02 09:21:18+00:00,Glad to see you've made it! If paying from Online - system may ask for the security code - which you can generate from the App. The App's code generator is on the App's home screen. No logging through the App needed. ^Mill,Glad to see you've made it! If paying from Online - system may ask for the security code - which you can generate from the App. The App's code generator is on the App's home screen. No logging through the App needed. ^Mill,Glad see youve made If paying Online system may ask security code generate App The Apps code generator Apps home screen No logging App needed Mill,,,,,,,
47,2020-03-02 09:39:03+00:00,"If you would like us to see what’s happening, click on the link to start DM. Can you then provide us with your full name on the account and postcode, and we will look into what's happening on your account. Thanks. ^Ank. https://twitter.com/messages/compose?recipient_id=2922732233","If you would like us to see what’s happening, click on the link to start DM. Can you then provide us with your full name on the account and postcode, and we will look into what's happening on your account. Thanks. ^Ank.",If would like us see whats happening click link start DM Can provide us full name account postcode look whats happening account Thanks Ank,,,,,,,
48,2020-03-02 10:02:12+00:00,"Hi Stuart - we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Mill","Hi Stuart - we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Mill",Hi Stuart aware backlog concerning Standing OrdersDirect Debits At stage still timescales payments reach destination day Issue temporarily affects payments App fixed speak Mill,,,,,,,
49,2020-03-02 10:07:18+00:00,"Hi Chris - there's a backlog concerning payments today, we're working on a fix. This is temporarily affecting our payments from the App as well. ^Mill","Hi Chris - there's a backlog concerning payments today, we're working on a fix. This is temporarily affecting our payments from the App as well. ^Mill",Hi Chris theres backlog concerning payments today working fix This temporarily affecting payments App well Mill,,,,,,,
50,2020-03-02 10:19:16+00:00,"We can either place you in a one-off exception, or set you up for the email verification (up to 5 times for email). It's best to ring number Nick provided, so we can get it sorted! ^Mill","We can either place you in a one-off exception, or set you up for the email verification (up to 5 times for email). It's best to ring number Nick provided, so we can get it sorted! ^Mill",We either place oneoff exception set email verification times email Its best ring number Nick provided get sorted Mill,,,,,,,
51,2020-03-02 10:21:06+00:00,We're aware of delays with standing orders/direct debits and direct payments. We're on it and fixing it now! ^Mill,We're aware of delays with standing orders/direct debits and direct payments. We're on it and fixing it now! ^Mill,Were aware delays standing ordersdirect debits direct payments Were fixing Mill,,,,,,,
52,2020-03-02 10:32:11+00:00,Definitely not what we want to hear - thanks for reaching out. Best to call 0800 169 6333 Their office hrs: Mon - Fri 08.00 - 21.00 Sat 08.00 - 20.00 Sun 09.00 - 18.00 Please give them a ring - team can help clarify the process for sure! ^Mill,Definitely not what we want to hear - thanks for reaching out. Best to call 0800 169 6333 Their office hrs: Mon - Fri 08.00 - 21.00 Sat 08.00 - 20.00 Sun 09.00 - 18.00 Please give them a ring - team can help clarify the process for sure! ^Mill,Definitely want hear thanks reaching Best call Their office hrs Mon Fri Sat Sun Please give ring team help clarify process sure Mill,,,,,,,
53,2020-03-02 10:39:41+00:00,"Hi Michelle, if you would like us to see what’s available for you. Click on the link below to start DM then provide us with your full name and postcode. Thanks. ^Ank.","Hi Michelle, if you would like us to see what’s available for you. Click on the link below to start DM then provide us with your full name and postcode. Thanks. ^Ank.",Hi Michelle would like us see whats available Click link start DM provide us full name postcode Thanks Ank,,,,,,,
54,2020-03-02 10:42:29+00:00,"Hi Jen, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude","Hi Jen, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude",Hi Jen aware backlog concerning Standing OrdersDirect Debits At stage still timescales payments reach destination day Issue temporarily affects payments App fixed speak Claude,,,,,,,
55,2020-03-02 11:29:36+00:00,"The annual subscription limit for the 19/20 tax year is £20K. This can be split across different ISA types as long as the combined amount doesn't exceed GBP20,000. Both, HTB & (Loyalty) Cash ISA belong to the same ISA type (they are Cash ISAs) (1/2) ^Mill","The annual subscription limit for the 19/20 tax year is £20K. This can be split across different ISA types as long as the combined amount doesn't exceed GBP20,000. Both, HTB & (Loyalty) Cash ISA belong to the same ISA type (they are Cash ISAs) (1/2) ^Mill",The annual subscription limit tax year K This split across different ISA types long combined amount doesnt exceed GBP Both HTB Loyalty Cash ISA belong ISA type Cash ISAs Mill,,,,,,,
56,2020-03-02 11:32:16+00:00,"With concerning the above, limits of how much you can deposit to your other HTB ISA would consider competitor's HTB ISA specifics as well as how much of £20K have you used this tax year across all your ISAs. (2/2) ^Mill","With concerning the above, limits of how much you can deposit to your other HTB ISA would consider competitor's HTB ISA specifics as well as how much of £20K have you used this tax year across all your ISAs. (2/2) ^Mill",With concerning limits much deposit HTB ISA would consider competitors HTB ISA specifics well much K used tax year across ISAs Mill,,,,,,,
57,2020-03-02 11:38:30+00:00,"Hey Matt. Yes, we did have some processing issues which have delayed the release of some payments. Our team is working hard to investigate and release the remaining payments before the cut off time of 3:30pm UK time. Very sorry for the trouble and thanks for your patience. ^Yuriy","Hey Matt. Yes, we did have some processing issues which have delayed the release of some payments. Our team is working hard to investigate and release the remaining payments before the cut off time of 3:30pm UK time. Very sorry for the trouble and thanks for your patience. ^Yuriy",Hey Matt Yes processing issues delayed release payments Our team working hard investigate release remaining payments cut time pm UK time Very sorry trouble thanks patience Yuriy,,,,,,,
58,2020-03-02 11:46:41+00:00,"Our standing orders are affected with a slight delay this morning. We're on it, as more processing is assigned to clear the backlog. Would you get charged from the second you enter your overdraft, or if your account stays in its overdraft balance over the night? ^Mill","Our standing orders are affected with a slight delay this morning. We're on it, as more processing is assigned to clear the backlog. Would you get charged from the second you enter your overdraft, or if your account stays in its overdraft balance over the night? ^Mill",Our standing orders affected slight delay morning Were processing assigned clear backlog Would get charged second enter overdraft account stays overdraft balance night Mill,,,,,,,
59,2020-03-02 11:53:20+00:00,"As this is a third party, we couldn't assist. It would be best to speak to Money Dashboard on their chats / help lines. Hope you can get this sorted. ^Ank.","As this is a third party, we couldn't assist. It would be best to speak to Money Dashboard on their chats / help lines. Hope you can get this sorted. ^Ank.",As third party couldnt assist It would best speak Money Dashboard chats help lines Hope get sorted Ank,,,,,,,
60,2020-03-02 11:56:20+00:00,"My suggestions would be to clarify the details, call the beneficiary to get this as accounts can change and details. Thanks for your understanding. ^Ank.","My suggestions would be to clarify the details, call the beneficiary to get this as accounts can change and details. Thanks for your understanding. ^Ank.",My suggestions would clarify details call beneficiary get accounts change details Thanks understanding Ank,,,,,,,
61,2020-03-02 12:00:51+00:00,"Hi, can you provide me you full name and postcode in a private message and I'll be able to check for you. ^Claude https://twitter.com/messages/compose?recipient_id=2922732233","Hi, can you provide me you full name and postcode in a private message and I'll be able to check for you. ^Claude",Hi provide full name postcode private message Ill able check Claude,,,,,,,
62,2020-03-02 12:02:28+00:00,"Hi, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude","Hi, we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Claude",Hi aware backlog concerning Standing OrdersDirect Debits At stage still timescales payments reach destination day Issue temporarily affects payments App fixed speak Claude,,,,,,,
63,2020-03-02 12:34:10+00:00,Don’t understand why this is difficult. Do you have a copy of your policy? You have the contact information in the booklet. Advance/ Bank account holders 0800 299 399 and Premier account holders 0800 051 746.(1/2) ^Ank.,Don’t understand why this is difficult. Do you have a copy of your policy? You have the contact information in the booklet. Advance/ Bank account holders 0800 299 399 and Premier account holders 0800 051 746.(1/2) ^Ank.,Dont understand difficult Do copy policy You contact information booklet Advance Bank account holders Premier account holders Ank,,,,,,,
64,2020-03-02 12:34:18+00:00,"Insurance Policy kindly go to the HSBC webpage look under the account you hold and have a look for extra information, this should be in PDF formats, to assist you in any query you might have under your policy. Thanks (2/2) ^Ank.","Insurance Policy kindly go to the HSBC webpage look under the account you hold and have a look for extra information, this should be in PDF formats, to assist you in any query you might have under your policy. Thanks (2/2) ^Ank.",Insurance Policy kindly go HSBC webpage look account hold look extra information PDF formats assist query might policy Thanks Ank,,,,,,,
65,2020-03-02 12:37:05+00:00,"Something doesn't sound right here, was everything closed correctly? I can look into this further for you if you would like to click on the link below to start DM, and provide me with your full name on the account and postcode. Thanks. ^Ank. https://twitter.com/messages/compose?recipient_id=2922732233","Something doesn't sound right here, was everything closed correctly? I can look into this further for you if you would like to click on the link below to start DM, and provide me with your full name on the account and postcode. Thanks. ^Ank.",Something doesnt sound right everything closed correctly I look would like click link start DM provide full name account postcode Thanks Ank,,,,,,,
66,2020-03-02 12:46:10+00:00,We apologise for any inconvenience.The issue is taking time to sort but payments are being sorted at a slower pace. You can contact us if there are charges in relation to this to be reviewed. We do thank you for your patience and understanding. ^Ank.,We apologise for any inconvenience.The issue is taking time to sort but payments are being sorted at a slower pace. You can contact us if there are charges in relation to this to be reviewed. We do thank you for your patience and understanding. ^Ank.,We apologise inconvenienceThe issue taking time sort payments sorted slower pace You contact us charges relation reviewed We thank patience understanding Ank,,,,,,,
67,2020-03-02 12:51:33+00:00,Gravy for the win ,Gravy for the win,Gravy win,,,,,,,
68,2020-03-02 12:53:13+00:00,"Hey there. Try clearing your browsing data, closing and re-opening the browser. We have little access to HSBCnet here, but you can get in touch with them on http://grp.hsbc/60161WFwC. Sorry for the trouble and thanks for your patience. ^Yuriy","Hey there. Try clearing your browsing data, closing and re-opening the browser. We have little access to HSBCnet here, but you can get in touch with them on Sorry for the trouble and thanks for your patience. ^Yuriy",Hey Try clearing browsing data closing reopening browser We little access HSBCnet get touch Sorry trouble thanks patience Yuriy,,,,,,,
69,2020-03-02 12:55:45+00:00,"To make a claim, call 0800 001 4278 (+44 1603 606 372 outside the UK). The IMEI number of your mobile phone will be required. (1/2) ^Ank.","To make a claim, call 0800 001 4278 (+44 1603 606 372 outside the UK). The IMEI number of your mobile phone will be required. (1/2) ^Ank.",To make claim call outside UK The IMEI number mobile phone required Ank,,,,,,,
70,2020-03-02 12:56:03+00:00,"You can find it by dialling *#06#on your phone’s keypad, on the box or your receipt, or by contacting your network provider. Thanks. (2/2) ^Ank.","You can find it by dialling *#06#on your phone’s keypad, on the box or your receipt, or by contacting your network provider. Thanks. (2/2) ^Ank.",You find dialling ##on phones keypad box receipt contacting network provider Thanks Ank,,,,,,,
71,2020-03-02 13:31:59+00:00,"Am I correct to say this has been sorted now? Do apologise for the panic attack, not something we intend to do to our customers, as we are always here to help. ^Ank.","Am I correct to say this has been sorted now? Do apologise for the panic attack, not something we intend to do to our customers, as we are always here to help. ^Ank.",Am I correct say sorted Do apologise panic attack something intend customers always help Ank,,,,,,,
72,2020-03-02 13:44:29+00:00,"Hey Ben. Sorry to hear that. We've only got access to UK accounts here. Please check out http://grp.hsbc/60181W2Gj for ways to contact HSBC Hong Kong (feels a bit repetitive saying that since the ""H"" in HSBC stands for Hong Kong already ). Thanks for your patience! ^Yuriy","Hey Ben. Sorry to hear that. We've only got access to UK accounts here. Please check out for ways to contact HSBC Hong Kong (feels a bit repetitive saying that since the ""H"" in HSBC stands for Hong Kong already ). Thanks for your patience! ^Yuriy",Hey Ben Sorry hear Weve got access UK accounts Please check ways contact HSBC Hong Kong feels bit repetitive saying since H HSBC stands Hong Kong already Thanks patience Yuriy,,,,,,,
73,2020-03-02 13:49:39+00:00,"As you need to change online banking credentials, I'm afraid that's the only way, unfortunately. Sorry for the trouble Ben. ^Yuriy","As you need to change online banking credentials, I'm afraid that's the only way, unfortunately. Sorry for the trouble Ben. ^Yuriy",As need change online banking credentials Im afraid thats way unfortunately Sorry trouble Ben Yuriy,,,,,,,
74,2020-03-02 13:51:58+00:00,"We always aim to protect the savings rates we pay to our customers. Any decision to reduce these rates is always difficult and in this case, reflects the challenging market conditions over the last few years. (1/2) ^Mill","We always aim to protect the savings rates we pay to our customers. Any decision to reduce these rates is always difficult and in this case, reflects the challenging market conditions over the last few years. (1/2) ^Mill",We always aim protect savings rates pay customers Any decision reduce rates always difficult case reflects challenging market conditions last years Mill,,,,,,,
